datetime,Load_kW
2015-04-01 00:00:00,0.5362666666666667
2015-04-01 00:15:00,0.5166666666666666
2015-04-01 00:30:00,0.4961333333333333
2015-04-01 00:45:00,0.5868
2015-04-01 01:00:00,0.5492666666666667
2015-04-01 01:15:00,0.6108
2015-04-01 01:30:00,0.5470666666666667
2015-04-01 01:45:00,0.3146
2015-04-01 02:00:00,0.2958666666666666
2015-04-01 02:15:00,0.2860666666666666
2015-04-01 02:30:00,0.4149333333333333
2015-04-01 02:45:00,0.2806666666666667
2015-04-01 03:00:00,0.3952
2015-04-01 03:15:00,0.412
2015-04-01 03:30:00,0.4331333333333333
2015-04-01 03:45:00,0.4919333333333333
2015-04-01 04:00:00,0.5286000000000001
2015-04-01 04:15:00,0.3964
2015-04-01 04:30:00,0.2658666666666667
2015-04-01 04:45:00,0.2973333333333333
2015-04-01 05:00:00,0.2428
2015-04-01 05:15:00,0.2698
2015-04-01 05:30:00,0.2766
2015-04-01 05:45:00,0.2720666666666667
2015-04-01 06:00:00,0.3336
2015-04-01 06:15:00,0.6482666666666667
2015-04-01 06:30:00,0.6214
2015-04-01 06:45:00,0.9489333333333332
2015-04-01 07:00:00,0.3142
2015-04-01 07:15:00,0.3347333333333333
2015-04-01 07:30:00,0.5433333333333333
2015-04-01 07:45:00,0.2204
2015-04-01 08:00:00,0.2299333333333333
2015-04-01 08:15:00,0.2186
2015-04-01 08:30:00,0.2441333333333333
2015-04-01 08:45:00,0.2842
2015-04-01 09:00:00,0.2615333333333333
2015-04-01 09:15:00,0.3097333333333333
2015-04-01 09:30:00,0.2218666666666666
2015-04-01 09:45:00,0.2339333333333333
2015-04-01 10:00:00,0.2366666666666666
2015-04-01 10:15:00,0.2170666666666666
2015-04-01 10:30:00,0.2246
2015-04-01 10:45:00,0.2010666666666666
2015-04-01 11:00:00,0.2656
2015-04-01 11:15:00,0.3348
2015-04-01 11:30:00,0.4716666666666667
2015-04-01 11:45:00,0.3776
2015-04-01 12:00:00,0.3963333333333333
2015-04-01 12:15:00,0.4289333333333333
2015-04-01 12:30:00,0.3085333333333334
2015-04-01 12:45:00,0.4350666666666666
2015-04-01 13:00:00,0.3654
2015-04-01 13:15:00,0.3253333333333333
2015-04-01 13:30:00,0.3209333333333333
2015-04-01 13:45:00,0.4868666666666666
2015-04-01 14:00:00,0.5639333333333333
2015-04-01 14:15:00,0.5832
2015-04-01 14:30:00,0.4923333333333333
2015-04-01 14:45:00,0.3162
2015-04-01 15:00:00,0.3722
2015-04-01 15:15:00,0.4254
2015-04-01 15:30:00,0.4108666666666666
2015-04-01 15:45:00,0.3414666666666666
2015-04-01 16:00:00,0.3258
2015-04-01 16:15:00,0.3289333333333333
2015-04-01 16:30:00,0.4319333333333333
2015-04-01 16:45:00,1.3330666666666666
2015-04-01 17:00:00,1.1170666666666669
2015-04-01 17:15:00,0.8002666666666667
2015-04-01 17:30:00,2.0060666666666664
2015-04-01 17:45:00,1.0216666666666667
2015-04-01 18:00:00,1.2428
2015-04-01 18:15:00,0.5664666666666667
2015-04-01 18:30:00,0.6447999999999999
2015-04-01 18:45:00,0.7944
2015-04-01 19:00:00,2.2606
2015-04-01 19:15:00,1.0639333333333334
2015-04-01 19:30:00,0.6828
2015-04-01 19:45:00,0.5764666666666667
2015-04-01 20:00:00,0.6073333333333334
2015-04-01 20:15:00,0.6696
2015-04-01 20:30:00,3.188333333333333
2015-04-01 20:45:00,3.3054
2015-04-01 21:00:00,1.3298666666666663
2015-04-01 21:15:00,0.8348
2015-04-01 21:30:00,0.3932666666666666
2015-04-01 21:45:00,0.4983999999999999
2015-04-01 22:00:00,0.3404666666666666
2015-04-01 22:15:00,0.3957333333333333
2015-04-01 22:30:00,0.4445333333333333
2015-04-01 22:45:00,0.4538666666666667
2015-04-01 23:00:00,0.4131333333333333
2015-04-01 23:15:00,0.3879333333333333
2015-04-01 23:30:00,0.3928
2015-04-01 23:45:00,0.3632666666666666
2015-04-02 00:00:00,0.4393333333333333
2015-04-02 00:15:00,0.434
2015-04-02 00:30:00,0.6654666666666667
2015-04-02 00:45:00,1.0019333333333331
2015-04-02 01:00:00,2.2902666666666667
2015-04-02 01:15:00,2.326866666666666
2015-04-02 01:30:00,2.3290666666666664
2015-04-02 01:45:00,2.3022
2015-04-02 02:00:00,0.5772666666666667
2015-04-02 02:15:00,0.4586666666666666
2015-04-02 02:30:00,0.3212
2015-04-02 02:45:00,0.3218666666666667
2015-04-02 03:00:00,0.2905333333333333
2015-04-02 03:15:00,0.3065333333333334
2015-04-02 03:30:00,0.3163999999999999
2015-04-02 03:45:00,0.3876666666666666
2015-04-02 04:00:00,0.4007333333333333
2015-04-02 04:15:00,0.334
2015-04-02 04:30:00,0.3360666666666667
2015-04-02 04:45:00,0.2617333333333334
2015-04-02 05:00:00,0.3106666666666667
2015-04-02 05:15:00,0.3059333333333333
2015-04-02 05:30:00,0.3783333333333333
2015-04-02 05:45:00,0.3124666666666666
2015-04-02 06:00:00,0.2897333333333333
2015-04-02 06:15:00,0.311
2015-04-02 06:30:00,0.349
2015-04-02 06:45:00,0.4259333333333333
2015-04-02 07:00:00,0.3406666666666667
2015-04-02 07:15:00,0.344
2015-04-02 07:30:00,0.3466666666666667
2015-04-02 07:45:00,0.2455333333333333
2015-04-02 08:00:00,0.2231333333333333
2015-04-02 08:15:00,1.6042666666666667
2015-04-02 08:30:00,1.0782
2015-04-02 08:45:00,0.578
2015-04-02 09:00:00,0.3315333333333333
2015-04-02 09:15:00,0.3245333333333333
2015-04-02 09:30:00,0.8779333333333332
2015-04-02 09:45:00,0.7502666666666666
2015-04-02 10:00:00,0.286
2015-04-02 10:15:00,0.2211999999999999
2015-04-02 10:30:00,0.9442
2015-04-02 10:45:00,0.3021999999999999
2015-04-02 11:00:00,3.097066666666666
