timestep,time,golf_0,sprinter_0
120,2023-01-02 06:00:00,0.8,0.8
121,2023-01-02 06:15:00,0.8,0.8
122,2023-01-02 06:30:00,0.8,0.8
123,2023-01-02 06:45:00,0.8,0.8
124,2023-01-02 07:00:00,0.8,0.8
125,2023-01-02 07:15:00,0.8,0.8
126,2023-01-02 07:30:00,0.8,0.8
127,2023-01-02 07:45:00,0.8,0.8
128,2023-01-02 08:00:00,0.8,0.8
129,2023-01-02 08:15:00,0.8,0.7910238264022965
130,2023-01-02 08:30:00,0.8,0.782047652804593
131,2023-01-02 08:45:00,0.8,0.7730714792068895
132,2023-01-02 09:00:00,0.8,0.7640953056091858
133,2023-01-02 09:15:00,0.7962185819129927,0.7551191320114823
134,2023-01-02 09:30:00,0.7924371638259853,0.7461429584137788
135,2023-01-02 09:45:00,0.7886557457389779,0.7371667848160752
136,2023-01-02 10:00:00,0.7848743276519705,0.7281906112183717
137,2023-01-02 10:15:00,0.7810929095649631,0.7192144376206682
138,2023-01-02 10:30:00,0.7773114914779558,0.7102382640229646
139,2023-01-02 10:45:00,0.7735300733909484,0.7012620904252611
140,2023-01-02 11:00:00,0.769748655303941,0.6922859168275575
141,2023-01-02 11:15:00,0.7659672372169336,0.6833097432298539
142,2023-01-02 11:30:00,0.7621858191299262,0.6743335696321504
143,2023-01-02 11:45:00,0.7584044010429188,0.6653573960344469
144,2023-01-02 12:00:00,0.7546229829559115,0.6563812224367434
145,2023-01-02 12:15:00,0.7508415648689041,0.6474050488390397
146,2023-01-02 12:30:00,0.7470601467818967,0.6384288752413363
147,2023-01-02 12:45:00,0.7432787286948893,0.6294527016436327
148,2023-01-02 13:00:00,0.7394973106078819,0.6204765280459291
149,2023-01-02 13:15:00,0.7357158925208745,0.6115003544482256
150,2023-01-02 13:30:00,0.7319344744338672,0.6025241808505221
151,2023-01-02 13:45:00,0.7281530563468599,0.5935480072528185
152,2023-01-02 14:00:00,0.7243716382598524,0.5845718336551149
153,2023-01-02 14:15:00,0.7205902201728451,0.5755956600574115
154,2023-01-02 14:30:00,0.7168088020858376,0.5666194864597078
155,2023-01-02 14:45:00,0.7130273839988304,0.5576433128620043
156,2023-01-02 15:00:00,0.7092459659118229,0.5486671392643008
157,2023-01-02 15:15:00,0.7054645478248156,0.5486671392643008
158,2023-01-02 15:30:00,0.7016831297378082,0.5486671392643008
159,2023-01-02 15:45:00,0.6979017116508008,0.5486671392643008
160,2023-01-02 16:00:00,0.6941202935637935,0.5486671392643008
161,2023-01-02 16:15:00,0.6903388754767861,0.5486671392643008
162,2023-01-02 16:30:00,0.6865574573897787,0.5486671392643008
163,2023-01-02 16:45:00,0.6827760393027713,0.5486671392643008
164,2023-01-02 17:00:00,0.6789946212157639,0.5486671392643008
165,2023-01-02 17:15:00,0.6752132031287565,0.5486671392643008
166,2023-01-02 17:30:00,0.6714317850417492,0.5486671392643008
167,2023-01-02 17:45:00,0.6676503669547418,0.5486671392643008
168,2023-01-02 18:00:00,0.6638689488677344,0.5486671392643008
169,2023-01-02 18:15:00,0.660087530780727,0.5486671392643008
170,2023-01-02 18:30:00,0.6563061126937196,0.5486671392643008
171,2023-01-02 18:45:00,0.6525246946067123,0.5486671392643008
172,2023-01-02 19:00:00,0.6487432765197049,0.5486671392643008
173,2023-01-02 19:15:00,0.6449618584326975,0.5486671392643008
174,2023-01-02 19:30:00,0.6449618584326975,0.5486671392643008
175,2023-01-02 19:45:00,0.6449618584326975,0.5486671392643008
176,2023-01-02 20:00:00,0.6449618584326975,0.5486671392643008
177,2023-01-02 20:15:00,0.6449618584326975,0.5486671392643008
178,2023-01-02 20:30:00,0.6449618584326975,0.5486671392643008
