datetime,PV_kW
2015-04-01 00:00:00,0.0
2015-04-01 00:15:00,0.0
2015-04-01 00:30:00,0.0
2015-04-01 00:45:00,0.0
2015-04-01 01:00:00,0.0
2015-04-01 01:15:00,0.0
2015-04-01 01:30:00,0.0
2015-04-01 01:45:00,0.0
2015-04-01 02:00:00,0.0
2015-04-01 02:15:00,0.0
2015-04-01 02:30:00,0.0
2015-04-01 02:45:00,0.0
2015-04-01 03:00:00,0.0
2015-04-01 03:15:00,0.0
2015-04-01 03:30:00,0.0
2015-04-01 03:45:00,0.0
2015-04-01 04:00:00,0.0
2015-04-01 04:15:00,0.0
2015-04-01 04:30:00,0.0
2015-04-01 04:45:00,0.0
2015-04-01 05:00:00,0.0
2015-04-01 05:15:00,0.0
2015-04-01 05:30:00,0.0
2015-04-01 05:45:00,0.0
2015-04-01 06:00:00,0.0
2015-04-01 06:15:00,0.0
2015-04-01 06:30:00,0.0
2015-04-01 06:45:00,0.098018333309738
2015-04-01 07:00:00,0.4200585181783678
2015-04-01 07:15:00,0.9650491955348646
2015-04-01 07:30:00,1.7379187380240404
2015-04-01 07:45:00,2.0094733172669543
2015-04-01 08:00:00,2.432789227642606
2015-04-01 08:15:00,2.999470322438467
2015-04-01 08:30:00,3.5409867712714727
2015-04-01 08:45:00,4.111991931388562
2015-04-01 09:00:00,4.624713008021607
2015-04-01 09:15:00,5.131986475052383
2015-04-01 09:30:00,5.599192792406604
2015-04-01 09:45:00,5.832780923708028
2015-04-01 10:00:00,6.364978128950494
2015-04-01 10:15:00,6.79306078192168
2015-04-01 10:30:00,7.163887367742459
2015-04-01 10:45:00,7.453793283393644
2015-04-01 11:00:00,8.25119803104356
2015-04-01 11:15:00,7.489499264006421
2015-04-01 11:30:00,5.562325120191155
2015-04-01 11:45:00,5.284319163492619
2015-04-01 12:00:00,8.142618030175436
2015-04-01 12:15:00,7.282191219295106
2015-04-01 12:30:00,5.409427963934096
2015-04-01 12:45:00,9.423330718620273
2015-04-01 13:00:00,4.135518185203177
2015-04-01 13:15:00,7.358863138219714
2015-04-01 13:30:00,7.299042527153108
2015-04-01 13:45:00,6.626088271897668
2015-04-01 14:00:00,5.543819880700285
2015-04-01 14:15:00,3.8723322630206303
2015-04-01 14:30:00,3.8331335304489658
2015-04-01 14:45:00,3.014109232463777
2015-04-01 15:00:00,4.711386005177781
2015-04-01 15:15:00,2.178266691672736
2015-04-01 15:30:00,4.082972708449195
2015-04-01 15:45:00,3.930137339436366
2015-04-01 16:00:00,2.451070492254362
2015-04-01 16:15:00,1.4219649323404324
2015-04-01 16:30:00,2.3908720933555774
2015-04-01 16:45:00,1.026469401633389
2015-04-01 17:00:00,1.2044864001932811
2015-04-01 17:15:00,0.3892576048390268
2015-04-01 17:30:00,0.0793366582688495
2015-04-01 17:45:00,0.0
2015-04-01 18:00:00,0.0
2015-04-01 18:15:00,0.0
2015-04-01 18:30:00,0.0
2015-04-01 18:45:00,0.0
2015-04-01 19:00:00,0.0
2015-04-01 19:15:00,0.0
2015-04-01 19:30:00,0.0
2015-04-01 19:45:00,0.0
2015-04-01 20:00:00,0.0
2015-04-01 20:15:00,0.0
2015-04-01 20:30:00,0.0
2015-04-01 20:45:00,0.0
2015-04-01 21:00:00,0.0
2015-04-01 21:15:00,0.0
2015-04-01 21:30:00,0.0
2015-04-01 21:45:00,0.0
2015-04-01 22:00:00,0.0
2015-04-01 22:15:00,0.0
2015-04-01 22:30:00,0.0
2015-04-01 22:45:00,0.0
2015-04-01 23:00:00,0.0
2015-04-01 23:15:00,0.0
2015-04-01 23:30:00,0.0
2015-04-01 23:45:00,0.0
2015-04-02 00:00:00,0.0
2015-04-02 00:15:00,0.0
2015-04-02 00:30:00,0.0
2015-04-02 00:45:00,0.0
2015-04-02 01:00:00,0.0
2015-04-02 01:15:00,0.0
2015-04-02 01:30:00,0.0
2015-04-02 01:45:00,0.0
2015-04-02 02:00:00,0.0
2015-04-02 02:15:00,0.0
2015-04-02 02:30:00,0.0
2015-04-02 02:45:00,0.0
2015-04-02 03:00:00,0.0
2015-04-02 03:15:00,0.0
2015-04-02 03:30:00,0.0
2015-04-02 03:45:00,0.0
2015-04-02 04:00:00,0.0
2015-04-02 04:15:00,0.0
2015-04-02 04:30:00,0.0
2015-04-02 04:45:00,0.0
2015-04-02 05:00:00,0.0
2015-04-02 05:15:00,0.0
2015-04-02 05:30:00,0.0
2015-04-02 05:45:00,0.0
2015-04-02 06:00:00,0.0
2015-04-02 06:15:00,0.0
2015-04-02 06:30:00,0.0
2015-04-02 06:45:00,0.0007805452761201
2015-04-02 07:00:00,0.0875278969892984
2015-04-02 07:15:00,0.1887230714507171
2015-04-02 07:30:00,0.3777495025909737
2015-04-02 07:45:00,0.6308624954920895
2015-04-02 08:00:00,0.8797741423165492
2015-04-02 08:15:00,1.1879987536766785
2015-04-02 08:30:00,1.0978738437010076
2015-04-02 08:45:00,1.1985082035099135
2015-04-02 09:00:00,1.1893653460039093
2015-04-02 09:15:00,1.364243562955545
2015-04-02 09:30:00,1.7954009977583378
2015-04-02 09:45:00,1.723504690772941
2015-04-02 10:00:00,2.346847177668267
2015-04-02 10:15:00,2.53696621635408
2015-04-02 10:30:00,4.902212436645188
2015-04-02 10:45:00,5.951284610487236
2015-04-02 11:00:00,5.8130968949579644
2015-04-02 11:15:00,7.666241221472733
2015-04-02 11:30:00,7.880392850338799
2015-04-02 11:45:00,8.149628647455485
2015-04-02 12:00:00,8.239494689051856
2015-04-02 12:15:00,8.239310346186569
2015-04-02 12:30:00,8.336740944110904
2015-04-02 12:45:00,8.324913282573318
2015-04-02 13:00:00,8.306890494209288
2015-04-02 13:15:00,8.190440659396952
2015-04-02 13:30:00,8.125900904737733
2015-04-02 13:45:00,7.945620841689023
2015-04-02 14:00:00,7.653443822658263
2015-04-02 14:15:00,7.356932936264859
2015-04-02 14:30:00,6.9893882650549255
2015-04-02 14:45:00,6.8690251433082805
2015-04-02 15:00:00,6.551579032233291
2015-04-02 15:15:00,6.088732430722836
2015-04-02 15:30:00,5.576387080617876
2015-04-02 15:45:00,5.009446677715309
2015-04-02 16:00:00,4.367514831974855
2015-04-02 16:15:00,3.681704209317188
2015-04-02 16:30:00,2.927507782273357
2015-04-02 16:45:00,2.0602943220749
2015-04-02 17:00:00,1.1675342557880577
2015-04-02 17:15:00,0.4115930253872529
2015-04-02 17:30:00,0.2022463558481808
2015-04-02 17:45:00,0.0
2015-04-02 18:00:00,0.0
2015-04-02 18:15:00,0.0
2015-04-02 18:30:00,0.0
2015-04-02 18:45:00,0.0
2015-04-02 19:00:00,0.0
2015-04-02 19:15:00,0.0
2015-04-02 19:30:00,0.0
2015-04-02 19:45:00,0.0
2015-04-02 20:00:00,0.0
2015-04-02 20:15:00,0.0
2015-04-02 20:30:00,0.0
2015-04-02 20:45:00,0.0
2015-04-02 21:00:00,0.0
2015-04-02 21:15:00,0.0
2015-04-02 21:30:00,0.0
2015-04-02 21:45:00,0.0
2015-04-02 22:00:00,0.0
2015-04-02 22:15:00,0.0
2015-04-02 22:30:00,0.0
